Parameters:
  Sample : Seo_FAPI1_Glass_OD0.0
  Solvent : <unspecified>
  Comment : Int = 10
  Exc_Wavelength : 397.7 nm
  Exc_Bandpass : 2.5 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Attenuation : open (5)
  Det_Wavelength : 806.0 nm
  Det_Bandpass : 1.4 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 10.0 mm
  Det_Attenuation : 100 %
  Det_Grating : 1200gr_500bl (1)
  Detector : VIS-red [HPD]
  Meas_Time : 230.1 s
  Meas_BinWidth : 2000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 400.0 s
  Meas_PeakCounts : 2230 counts
  Sync_Frequency : 53960 Hz
  Sync_Source : PDL 820
  Signal_Rate : 1540 cps
  Start_Date : 20/07/2023
  Start_Time : 14:51:08
  PhotonCounter : TimeHarp 260 N 1040436 0121-0120-02.03
  EasyTau : 2568
  Signal_TrigLevel : -70 mV
  Signal_TrigEdge : true
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -50 mV
  Sync_TrigEdge : true
  Sync_Offset : 0 ps
  Sync_SyncDiv : 1 
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.1.2.3 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.7.115 HW:0.1.2.3 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.0.5.61 HW:0.1.2.3 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.5.79 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:1.0.1.2 AUX:0.0.0.0
	DEV(SWT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(ETC):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SMP):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.0.1 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.8.75 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(LSC):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
0	1
1.99999994343614	3
3.99999988687227	2
5.99999960826381	2
7.99999977374455	3
9.99999993922529	2
11.9999992165276	0
13.9999993820084	0
15.9999995474891	4
17.9999997129698	1
19.9999998784506	2
22.0000000439313	3
23.9999984330552	0
25.999998598536	1
27.9999987640167	1
29.9999989294975	0
31.9999990949782	2
33.9999992604589	3
35.9999994259397	2
37.9999995914204	3
39.9999997569012	2186
41.9999999223819	2230
44.0000000878626	1778
46.0000002533434	1511
47.9999968661105	1345
49.9999970315912	1160
51.9999971970719	1173
53.9999973625527	1093
55.9999975280334	1031
57.9999976935142	970
59.9999978589949	945
61.9999980244756	930
63.9999981899564	844
65.9999983554371	855
67.9999985209179	834
69.9999986863986	841
71.9999988518794	773
73.9999990173601	769
75.9999991828408	845
77.9999993483216	782
79.9999995138023	818
81.9999996792831	762
83.9999998447638	738
86.0000000102445	796
88.0000001757253	775
90.000000341206	730
92.0000005066868	755
94.0000006721675	734
95.9999937322209	676
97.9999938977016	699
99.9999940631824	706
101.999994228663	678
103.999994394144	715
105.999994559625	719
107.999994725105	727
109.999994890586	681
111.999995056067	761
113.999995221548	680
115.999995387028	674
117.999995552509	691
119.99999571799	650
122.000002988898	637
123.999996048951	668
126.000003319859	684
127.999996379913	668
129.999989439966	653
131.999996710874	658
133.999989770928	671
135.999997041836	649
137.999990101889	660
139.999997372797	679
141.999990432851	633
143.999997703759	633
145.999990763812	630
147.99999803472	638
149.999991094774	643
151.999998365682	631
153.999991425735	624
155.999998696643	623
157.999991756697	628
159.999999027605	626
161.999992087658	625
163.999999358566	624
165.99999241862	609
167.999999689528	621
169.999992749581	633
172.000000020489	628
173.999993080542	567
176.000000351451	599
177.999993411504	585
180.000000682412	665
181.999993742465	617
184.000001013374	558
185.999994073427	597
188.000001344335	601
189.999994404388	590
191.999987464442	604
193.99999473535	532
195.999987795403	577
197.999995066311	571
199.999988126365	602
201.999995397273	564
203.999988457326	582
205.999995728234	567
207.999988788288	584
209.999996059196	610
211.999989119249	569
213.999996390157	581
215.999989450211	537
217.999996721119	577
219.999989781172	582
221.99999705208	500
223.999990112134	501
225.999997383042	564
227.999990443095	578
229.999997714003	600
231.999990774057	560
233.999998044965	555
235.999991105018	545
237.999998375926	529
239.99999143598	529
241.999998706888	543
244.000005977796	548
245.999984826994	569
247.999992097903	507
249.999999368811	538
252.000006639719	508
253.999985488917	501
255.999992759826	561
258.000000030734	538
259.999978879932	563
261.99998615084	511
263.999993421749	506
266.000000692657	554
267.999979541855	514
269.999986812763	565
271.999994083671	496
274.00000135458	545
275.999980203778	506
277.999987474686	491
279.999994745594	520
282.000002016503	509
283.999980865701	536
285.999988136609	509
287.999995407517	503
290.000002678426	506
291.999981527624	523
293.999988798532	504
295.99999606944	503
298.000003340348	450
299.999982189547	517
301.999989460455	506
303.999996731363	494
306.000004002271	465
307.99998285147	502
309.999990122378	506
311.999997393286	470
314.000004664194	513
315.999983513393	488
317.999990784301	480
319.999998055209	479
321.999976904408	465
323.999984175316	486
325.999991446224	437
327.999998717132	495
329.999977566331	494
331.999984837239	500
333.999992108147	487
335.999999379055	460
337.999978228254	485
339.999985499162	480
341.99999277007	509
344.000000040978	448
345.999978890177	426
347.999986161085	507
349.999993431993	494
352.000000702901	488
353.9999795521	446
355.999986823008	452
357.999994093916	468
360.000001364824	449
361.999980214023	414
363.999987484931	443
365.999994755839	467
368.000002026747	436
369.999980875946	443
371.999988146854	437
373.999995417762	438
376.00000268867	426
377.999981537869	461
379.999988808777	383
381.999996079685	450
383.999974928884	439
385.999982199792	429
387.9999894707	451
389.999996741608	439
391.999975590807	431
393.999982861715	432
395.999990132623	469
397.999997403531	450
399.99997625273	422
401.999983523638	433
403.999990794546	408
405.999998065454	455
407.999976914652	443
409.999984185561	441
411.999991456469	431
413.999998727377	414
415.999977576575	431
417.999984847484	397
419.999992118392	390
421.9999993893	442
423.999978238498	408
