Parameters:
  Sample : Seo_FAPI1_Glass_OD1.0
  Solvent : <unspecified>
  Comment : Int = 10
  Exc_Wavelength : 397.7 nm
  Exc_Bandpass : 2.5 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Attenuation : 10% (4)
  Det_Wavelength : 806.0 nm
  Det_Bandpass : 2.7 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 10.0 mm
  Det_Attenuation : 100 %
  Det_Grating : 1200gr_500bl (1)
  Detector : VIS-red [HPD]
  Meas_Time : 356.0 s
  Meas_BinWidth : 2000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 10000 counts
  Meas_PeakCounts : 1688 counts
  Sync_Frequency : 54530 Hz
  Sync_Source : PDL 820
  Signal_Rate : 2370 cps
  Start_Date : 20/07/2023
  Start_Time : 14:31:15
  PhotonCounter : TimeHarp 260 N 1040436 0121-0120-02.03
  EasyTau : 2568
  Signal_TrigLevel : -70 mV
  Signal_TrigEdge : true
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -50 mV
  Sync_TrigEdge : true
  Sync_Offset : 0 ps
  Sync_SyncDiv : 1 
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.1.2.3 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.7.115 HW:0.1.2.3 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.0.5.61 HW:0.1.2.3 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.5.79 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:1.0.1.2 AUX:0.0.0.0
	DEV(SWT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(ETC):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SMP):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.0.1 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.8.75 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(LSC):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
0	18
1.99999994343614	15
3.99999988687227	14
5.99999960826381	14
7.99999977374455	17
9.99999993922529	14
11.9999992165276	9
13.9999993820084	12
15.9999995474891	14
17.9999997129698	13
19.9999998784506	15
22.0000000439313	9
23.9999984330552	16
25.999998598536	21
27.9999987640167	17
29.9999989294975	19
31.9999990949782	10
33.9999992604589	15
35.9999994259397	14
37.9999995914204	16
39.9999997569012	1688
41.9999999223819	1426
44.0000000878626	1044
46.0000002533434	883
47.9999968661105	814
49.9999970315912	770
51.9999971970719	664
53.9999973625527	639
55.9999975280334	588
57.9999976935142	606
59.9999978589949	570
61.9999980244756	552
63.9999981899564	544
65.9999983554371	508
67.9999985209179	499
69.9999986863986	481
71.9999988518794	483
73.9999990173601	510
75.9999991828408	446
77.9999993483216	435
79.9999995138023	498
81.9999996792831	415
83.9999998447638	479
86.0000000102445	442
88.0000001757253	393
90.000000341206	436
92.0000005066868	425
94.0000006721675	410
95.9999937322209	430
97.9999938977016	412
99.9999940631824	417
101.999994228663	394
103.999994394144	412
105.999994559625	383
107.999994725105	399
109.999994890586	409
111.999995056067	378
113.999995221548	401
115.999995387028	427
117.999995552509	369
119.99999571799	390
122.000002988898	426
123.999996048951	418
126.000003319859	383
127.999996379913	355
129.999989439966	406
131.999996710874	395
133.999989770928	421
135.999997041836	399
137.999990101889	428
139.999997372797	395
141.999990432851	371
143.999997703759	345
145.999990763812	395
147.99999803472	418
149.999991094774	389
151.999998365682	365
153.999991425735	428
155.999998696643	368
157.999991756697	410
159.999999027605	420
161.999992087658	360
163.999999358566	343
165.99999241862	380
167.999999689528	418
169.999992749581	369
172.000000020489	366
173.999993080542	378
176.000000351451	412
177.999993411504	382
180.000000682412	346
181.999993742465	363
184.000001013374	369
185.999994073427	396
188.000001344335	370
189.999994404388	347
191.999987464442	397
193.99999473535	322
195.999987795403	380
197.999995066311	426
199.999988126365	363
201.999995397273	392
203.999988457326	360
205.999995728234	355
207.999988788288	378
209.999996059196	347
211.999989119249	367
213.999996390157	344
215.999989450211	362
217.999996721119	356
219.999989781172	372
221.99999705208	367
223.999990112134	382
225.999997383042	387
227.999990443095	360
229.999997714003	358
231.999990774057	348
233.999998044965	348
235.999991105018	352
237.999998375926	352
239.99999143598	369
241.999998706888	336
244.000005977796	377
245.999984826994	340
247.999992097903	346
249.999999368811	364
252.000006639719	330
253.999985488917	350
255.999992759826	344
258.000000030734	352
259.999978879932	321
261.99998615084	354
263.999993421749	347
266.000000692657	313
267.999979541855	377
269.999986812763	379
271.999994083671	326
274.00000135458	356
275.999980203778	380
277.999987474686	324
279.999994745594	326
282.000002016503	347
283.999980865701	346
285.999988136609	354
287.999995407517	361
290.000002678426	355
291.999981527624	359
293.999988798532	365
295.99999606944	342
298.000003340348	342
299.999982189547	336
301.999989460455	351
303.999996731363	351
306.000004002271	362
307.99998285147	355
309.999990122378	354
311.999997393286	333
314.000004664194	371
315.999983513393	356
317.999990784301	329
319.999998055209	342
321.999976904408	331
323.999984175316	369
325.999991446224	351
327.999998717132	338
329.999977566331	366
331.999984837239	364
333.999992108147	328
335.999999379055	360
337.999978228254	372
339.999985499162	347
341.99999277007	345
344.000000040978	323
345.999978890177	359
347.999986161085	323
349.999993431993	350
352.000000702901	321
353.9999795521	346
355.999986823008	321
357.999994093916	347
360.000001364824	325
361.999980214023	370
363.999987484931	346
365.999994755839	340
368.000002026747	343
369.999980875946	373
371.999988146854	318
373.999995417762	348
376.00000268867	370
377.999981537869	349
379.999988808777	343
381.999996079685	325
383.999974928884	340
385.999982199792	315
387.9999894707	342
389.999996741608	324
391.999975590807	346
393.999982861715	320
395.999990132623	290
397.999997403531	339
399.99997625273	324
401.999983523638	359
403.999990794546	313
405.999998065454	359
407.999976914652	332
409.999984185561	340
411.999991456469	327
413.999998727377	329
415.999977576575	297
417.999984847484	314
419.999992118392	337
421.9999993893	319
423.999978238498	324
425.999985509407	328
