Parameters:
  Sample : Seo_FAPI1_Perov_OD0.0
  Solvent : <unspecified>
  Comment : Int = 10
  Exc_Wavelength : 397.7 nm
  Exc_Bandpass : 2.5 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Attenuation : open (5)
  Det_Wavelength : 806.0 nm
  Det_Bandpass : 5.4 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 10.0 mm
  Det_Attenuation : 100 %
  Det_Grating : 1200gr_500bl (1)
  Detector : VIS-red [HPD]
  Meas_Time : 232.9 s
  Meas_BinWidth : 2000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 400.0 s
  Meas_PeakCounts : 1334 counts
  Sync_Frequency : 53780 Hz
  Sync_Source : PDL 820
  Signal_Rate : 3130 cps
  Start_Date : 20/07/2023
  Start_Time : 15:06:40
  PhotonCounter : TimeHarp 260 N 1040436 0121-0120-02.03
  EasyTau : 2568
  Signal_TrigLevel : -70 mV
  Signal_TrigEdge : true
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -50 mV
  Sync_TrigEdge : true
  Sync_Offset : 0 ps
  Sync_SyncDiv : 1 
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.1.2.3 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.7.115 HW:0.1.2.3 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.0.5.61 HW:0.1.2.3 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.5.79 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:1.0.1.2 AUX:0.0.0.0
	DEV(SWT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(ETC):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SMP):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.0.1 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.8.75 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(LSC):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
0	4
1.99999994343614	4
3.99999988687227	3
5.99999960826381	3
7.99999977374455	6
9.99999993922529	5
11.9999992165276	5
13.9999993820084	2
15.9999995474891	5
17.9999997129698	7
19.9999998784506	6
22.0000000439313	2
23.9999984330552	5
25.999998598536	2
27.9999987640167	3
29.9999989294975	5
31.9999990949782	3
33.9999992604589	2
35.9999994259397	2
37.9999995914204	1
39.9999997569012	1237
41.9999999223819	1334
44.0000000878626	1147
46.0000002533434	1089
47.9999968661105	1082
49.9999970315912	1033
51.9999971970719	961
53.9999973625527	1012
55.9999975280334	945
57.9999976935142	984
59.9999978589949	1014
61.9999980244756	979
63.9999981899564	975
65.9999983554371	917
67.9999985209179	929
69.9999986863986	932
71.9999988518794	908
73.9999990173601	904
75.9999991828408	934
77.9999993483216	906
79.9999995138023	955
81.9999996792831	967
83.9999998447638	911
86.0000000102445	942
88.0000001757253	932
90.000000341206	915
92.0000005066868	907
94.0000006721675	894
95.9999937322209	900
97.9999938977016	814
99.9999940631824	911
101.999994228663	944
103.999994394144	944
105.999994559625	815
107.999994725105	882
109.999994890586	854
111.999995056067	857
113.999995221548	884
115.999995387028	941
117.999995552509	916
119.99999571799	854
122.000002988898	856
123.999996048951	807
126.000003319859	836
127.999996379913	823
129.999989439966	882
131.999996710874	865
133.999989770928	834
135.999997041836	882
137.999990101889	859
139.999997372797	814
141.999990432851	816
143.999997703759	790
145.999990763812	825
147.99999803472	805
149.999991094774	833
151.999998365682	830
153.999991425735	802
155.999998696643	814
157.999991756697	865
159.999999027605	818
161.999992087658	870
163.999999358566	812
165.99999241862	816
167.999999689528	804
169.999992749581	827
172.000000020489	762
173.999993080542	834
176.000000351451	793
177.999993411504	793
180.000000682412	768
181.999993742465	784
184.000001013374	760
185.999994073427	771
188.000001344335	808
189.999994404388	800
191.999987464442	748
193.99999473535	809
195.999987795403	800
197.999995066311	766
199.999988126365	760
201.999995397273	781
203.999988457326	768
205.999995728234	797
207.999988788288	793
209.999996059196	792
211.999989119249	795
213.999996390157	763
215.999989450211	798
217.999996721119	763
219.999989781172	756
221.99999705208	755
223.999990112134	748
225.999997383042	773
227.999990443095	765
229.999997714003	734
231.999990774057	731
233.999998044965	724
235.999991105018	728
237.999998375926	713
239.99999143598	786
241.999998706888	671
244.000005977796	685
245.999984826994	703
247.999992097903	732
249.999999368811	717
252.000006639719	740
253.999985488917	712
255.999992759826	798
258.000000030734	745
259.999978879932	734
261.99998615084	702
263.999993421749	674
266.000000692657	695
267.999979541855	734
269.999986812763	685
271.999994083671	724
274.00000135458	711
275.999980203778	686
277.999987474686	715
279.999994745594	713
282.000002016503	672
283.999980865701	677
285.999988136609	681
287.999995407517	729
290.000002678426	764
291.999981527624	684
293.999988798532	697
295.99999606944	661
298.000003340348	696
299.999982189547	643
301.999989460455	653
303.999996731363	708
306.000004002271	728
307.99998285147	677
309.999990122378	720
311.999997393286	714
314.000004664194	668
315.999983513393	707
317.999990784301	660
319.999998055209	632
321.999976904408	698
323.999984175316	612
325.999991446224	646
327.999998717132	671
329.999977566331	682
331.999984837239	693
333.999992108147	719
335.999999379055	637
337.999978228254	650
339.999985499162	651
341.99999277007	659
344.000000040978	673
345.999978890177	665
347.999986161085	634
349.999993431993	582
352.000000702901	697
353.9999795521	633
355.999986823008	660
357.999994093916	707
360.000001364824	682
361.999980214023	634
363.999987484931	669
365.999994755839	585
368.000002026747	654
369.999980875946	658
371.999988146854	698
373.999995417762	652
376.00000268867	638
377.999981537869	635
379.999988808777	629
381.999996079685	627
383.999974928884	623
385.999982199792	614
387.9999894707	653
389.999996741608	628
391.999975590807	607
393.999982861715	675
395.999990132623	671
397.999997403531	626
399.99997625273	642
401.999983523638	534
403.999990794546	604
405.999998065454	631
407.999976914652	620
409.999984185561	632
411.999991456469	608
413.999998727377	583
415.999977576575	603
417.999984847484	586
419.999992118392	643
421.9999993893	633
423.999978238498	651
