Parameters:
  Sample : Seo_FAPI1_Perov_OD1.0
  Solvent : <unspecified>
  Comment : Int = 10
  Exc_Wavelength : 397.7 nm
  Exc_Bandpass : 2.5 nm
  Exc_Polarisation : 0.0 °
  Exc_Source : PDL 820
  Exc_Attenuation : 10% (4)
  Det_Wavelength : 806.0 nm
  Det_Bandpass : 6.8 nm
  Det_Polarisation : 54.7 °
  Det_Lens_Position : 10.0 mm
  Det_Attenuation : 100 %
  Det_Grating : 1200gr_500bl (1)
  Detector : VIS-red [HPD]
  Meas_Time : 299.2 s
  Meas_BinWidth : 2000 ps
  Meas_BaseResolution : 250 ps
  Meas_Stop : 400.0 s
  Meas_PeakCounts : 601 counts
  Sync_Frequency : 54620 Hz
  Sync_Source : PDL 820
  Signal_Rate : 2750 cps
  Start_Date : 20/07/2023
  Start_Time : 14:57:58
  PhotonCounter : TimeHarp 260 N 1040436 0121-0120-02.03
  EasyTau : 2568
  Signal_TrigLevel : -70 mV
  Signal_TrigEdge : true
  Signal_Offset : 0 ps
  Signal_Enable : true
  Sync_TrigLevel : -50 mV
  Sync_TrigEdge : true
  Sync_Offset : 0 ps
  Sync_SyncDiv : 1 
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SYS):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.7.49 HW:0.1.2.3 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.7.115 HW:0.1.2.3 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.0.5.61 HW:0.1.2.3 AUX:0.0.0.0
	DEV(MCR):	 SH:1.0.4.100 SW:1.0.5.79 HW:0.1.2.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.2 AUX:0.0.0.0
	DEV(ACT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.2.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:1.0.1.2 AUX:0.0.0.0
	DEV(SWT):	 SH:1.1.0.0 SW:1.1.8.75 HW:0.0.1.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(ETC):	 SH:1.1.0.0 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(SMP):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.75 HW:0.1.0.1 AUX:0.0.0.0
	DEV(DET):	 SH:1.1.0.1 SW:1.1.8.75 HW:0.0.0.0 AUX:0.0.0.0
   : 
	NOD:      	 SH:1.1.0.0 SW:1.1.8.194 HW:0.1.0.1 AUX:0.0.0.0
	DEV(LSC):	 SH:1.1.0.1 SW:1.1.8.173 HW:0.1.0.1 AUX:0.0.0.0

Data:
Time [ns]	Intensity [Cnts.]
0	11
1.99999994343614	18
3.99999988687227	11
5.99999960826381	17
7.99999977374455	12
9.99999993922529	6
11.9999992165276	13
13.9999993820084	4
15.9999995474891	5
17.9999997129698	9
19.9999998784506	15
22.0000000439313	11
23.9999984330552	15
25.999998598536	14
27.9999987640167	4
29.9999989294975	7
31.9999990949782	12
33.9999992604589	9
35.9999994259397	6
37.9999995914204	11
39.9999997569012	584
41.9999999223819	601
44.0000000878626	521
46.0000002533434	453
47.9999968661105	442
49.9999970315912	432
51.9999971970719	439
53.9999973625527	406
55.9999975280334	440
57.9999976935142	416
59.9999978589949	397
61.9999980244756	375
63.9999981899564	423
65.9999983554371	356
67.9999985209179	423
69.9999986863986	402
71.9999988518794	379
73.9999990173601	378
75.9999991828408	368
77.9999993483216	368
79.9999995138023	399
81.9999996792831	355
83.9999998447638	400
86.0000000102445	354
88.0000001757253	364
90.000000341206	365
92.0000005066868	391
94.0000006721675	378
95.9999937322209	358
97.9999938977016	383
99.9999940631824	360
101.999994228663	389
103.999994394144	348
105.999994559625	376
107.999994725105	370
109.999994890586	339
111.999995056067	384
113.999995221548	379
115.999995387028	366
117.999995552509	374
119.99999571799	377
122.000002988898	383
123.999996048951	378
126.000003319859	364
127.999996379913	381
129.999989439966	362
131.999996710874	406
133.999989770928	376
135.999997041836	368
137.999990101889	335
139.999997372797	356
141.999990432851	370
143.999997703759	371
145.999990763812	399
147.99999803472	346
149.999991094774	390
151.999998365682	315
153.999991425735	376
155.999998696643	340
157.999991756697	350
159.999999027605	385
161.999992087658	398
163.999999358566	347
165.99999241862	385
167.999999689528	355
169.999992749581	351
172.000000020489	362
173.999993080542	337
176.000000351451	329
177.999993411504	392
180.000000682412	368
181.999993742465	348
184.000001013374	332
185.999994073427	349
188.000001344335	369
189.999994404388	369
191.999987464442	358
193.99999473535	350
195.999987795403	371
197.999995066311	357
199.999988126365	378
201.999995397273	347
203.999988457326	385
205.999995728234	326
207.999988788288	392
209.999996059196	343
211.999989119249	373
213.999996390157	355
215.999989450211	364
217.999996721119	348
219.999989781172	335
221.99999705208	363
223.999990112134	372
225.999997383042	350
227.999990443095	365
229.999997714003	364
231.999990774057	373
233.999998044965	370
235.999991105018	326
237.999998375926	335
239.99999143598	363
241.999998706888	364
244.000005977796	371
245.999984826994	371
247.999992097903	386
249.999999368811	364
252.000006639719	330
253.999985488917	329
255.999992759826	360
258.000000030734	338
259.999978879932	292
261.99998615084	323
263.999993421749	370
266.000000692657	339
267.999979541855	335
269.999986812763	353
271.999994083671	337
274.00000135458	366
275.999980203778	348
277.999987474686	338
279.999994745594	317
282.000002016503	346
283.999980865701	379
285.999988136609	350
287.999995407517	352
290.000002678426	375
291.999981527624	367
293.999988798532	334
295.99999606944	325
298.000003340348	322
299.999982189547	328
301.999989460455	314
303.999996731363	340
306.000004002271	329
307.99998285147	363
309.999990122378	341
311.999997393286	360
314.000004664194	326
315.999983513393	313
317.999990784301	358
319.999998055209	320
321.999976904408	350
323.999984175316	342
325.999991446224	354
327.999998717132	325
329.999977566331	327
331.999984837239	333
333.999992108147	355
335.999999379055	346
337.999978228254	323
339.999985499162	353
341.99999277007	355
344.000000040978	326
345.999978890177	344
347.999986161085	341
349.999993431993	355
352.000000702901	371
353.9999795521	303
355.999986823008	356
357.999994093916	349
360.000001364824	346
361.999980214023	328
363.999987484931	334
365.999994755839	328
368.000002026747	368
369.999980875946	329
371.999988146854	331
373.999995417762	354
376.00000268867	335
377.999981537869	330
379.999988808777	338
381.999996079685	308
383.999974928884	345
385.999982199792	331
387.9999894707	340
389.999996741608	310
391.999975590807	319
393.999982861715	323
395.999990132623	324
397.999997403531	301
399.99997625273	312
401.999983523638	341
403.999990794546	339
405.999998065454	319
407.999976914652	327
409.999984185561	311
411.999991456469	320
413.999998727377	328
415.999977576575	350
417.999984847484	310
419.999992118392	318
421.9999993893	319
423.999978238498	317
425.999985509407	335
